F16013,F12506,F15001,F30700,F16143,F15007
108450,20140429,8116,8475,16300000,0
108590,20140429,23802,25780,2450000,0
109070,20100928,11790,2075,88912960,0
114100,20140306,101637,107255,2490000,0
114260,20140311,51533,53850,900000,0
114460,20140306,97028,102640,180000,0
114470,20140306,101401,107025,2250000,0
114820,20140306,100478,106115,900000,0
117460,20140429,8477,9180,1750000,0
117680,20140429,8866,9480,700000,0
117700,20140429,3550,3680,2700000,0
118000,20151209,2785,2785,10593793,0
122090,20140429,15571,16675,780000,0
122260,20151229,96300,100475,450000,0
128820,20100730,145910,68000,3797761,0
128940,20100730,88259,99900,7154540,0
129260,20111216,3825,7650,26277120,0
130730,20151229,96424,100505,1154000,0
131890,20140429,11031,11480,700000,0
136340,20140605,94554,101725,530000,0
138230,20141229,11117,11480,1410000,0
138520,20140429,7617,7990,4520000,0
138530,20140429,5812,6150,720000,0
138540,20140429,22735,24285,420000,0
138930,20110330,14633,15700,193379899,0
139220,20140429,3754,3920,1640000,0
139230,20140429,4306,4465,700000,0
139240,20140429,8100,8650,460000,0
139250,20140429,9169,9860,440000,0
139260,20140429,14763,15375,4060000,0
139270,20140429,6273,6910,720000,0
139280,20140429,9522,10175,1300000,0
139290,20140429,19582,20875,1000000,0
140570,20140429,9048,9360,1100000,0
140580,20140429,9548,10155,1500000,0
140700,20140429,7058,7785,400000,0
140910,20141229,7021,5890,3628735,0
140950,20140429,17949,19375,7520000,0
143460,20140429,5562,6055,5800000,0
143860,20140429,15018,15170,440000,0
145270,20141229,873,4625,27105000,0
145850,20140429,23536,25595,450000,0
147970,20140429,18071,19295,280000,0
148020,20140429,23542,25605,12850000,0
148070,20151229,113426,117255,190000,0
150460,20140429,7168,7430,12150000,0
151910,20170111,1018,1695,96420872,0
152100,20140429,23637,25555,12350000,0
152550,20140304,2924,3240,70020000,0
152870,20140429,23829,25625,25500000,0
153130,20151229,95958,100060,13517000,0
153270,20140429,18080,19470,1780000,0
156080,20140429,10770,11380,600000,0
157450,20151229,96033,100045,7768000,0
157490,20140429,6019,6125,700000,0
157500,20140429,3099,3360,1300000,0
159800,20140429,18247,19485,1480000,0
161510,20140429,9673,11210,5700000,0
163560,20121019,10396,11600,10701726,0
167860,20141229,107851,113830,130000,0
168300,20140429,15896,16795,975000,0
168490,20140328,3943,4130,80020000,0
170350,20140429,10880,11620,2880000,0
174350,20140429,10914,11905,2520000,0
176710,20140306,93769,102590,1680000,0
181710,20130829,123308,127500,15165025,0
182480,20140429,9767,11020,1000000,0
183700,20140605,48852,50110,240000,0
183710,20140605,28624,29650,350000,0
190620,20141229,94422,100115,1108000,0
192720,20140429,21774,24105,1530000,0
195970,20150429,9995,9995,840000,0
195980,20150429,10520,10520,1040000,0
196230,20141229,97402,100670,1737000,0
210780,20150429,10791,12230,2100000,0
211210,20150429,10683,12185,1830000,0
211560,20150429,14808,16155,2100000,0
211900,20150429,12037,12915,1450000,0
214980,20151229,95679,100030,6609000,0
